name,type,area,direction,fitment,elevator,total_price,unit_price,property
里河新村中间楼层 业主已购新房 ，有钥匙随时可以看房,2室1厅,59.3,南,简装,无,139.6,23542,70
满5年税费少，一梯一户 ，带独立自行车库，看房有钥匙,3室1厅,110.52,南 北,简装,无,276,24973,70
次顶楼·采光刺眼· 户型好 房东诚心出售,3室1厅,72.26,南,精装,无,185,25602,70
房东诚心出售。居住温馨，拎包入住,3室1厅,85.42,南,精装,无,200,23414,70
新旅城三区86㎡多层中间楼层采光好210万,2室2厅,86.88,南,简装,无,210,24172,70
迎春华府精装小三房拎包入住 急售,3室2厅,85.89,南,精装,有,180,20958,70
产证满两年  洋房  楼层好  边套通透,3室2厅,84.89,南,精装,有,179,21087,70
新上一楼带院子 彩香二村 随时看房 有钥匙,1室1厅,43,南,简装,无,113,26280,70
南山金城1958 3室1厅 235万,3室1厅,88.9,南,精装,有,235,26435,70
湖滨花园 精装修三房拎包入住 业主诚意出售,3室2厅,131.28,西北,精装,有,257,19577,70
石湖万达精装大三房，诚心出售，随时看房,3室2厅,122,南,精装,有,324,26558,70
万达石湖旁吴逸花园，精装五房，带车库露台,5室3厅,168.3,南,精装,无,260,15449,70
拙政园旁，带20平院子，开门，敬文平江，随时看房,3室1厅,62.45,南,简装,无,162,25941,70
阳山小户 精装两房 带独立车库 房东诚意急售 随时看房,2室1厅,60.33,南,精装,无,130,21549,70
花园洋房 次顶层 满两年无增值税 诚心出售 看房随时,3室2厅,103.54,南,毛坯,有,286,27623,70
此房6月满二，产权清晰，户型好，精装，业主诚心,4室2厅,115.7,南,精装,有,327,28263,70
金辉融侨城3房带挑高，房东换房急售,4室2厅,95.45,南,毛坯,有,268,28078,70
盘溪新村  上沙苑  好房出售 楼层好面积 带独立10平米,3室2厅,89,南,精装,无,182,20450,70
满五唯一，有独库，毛坯房，看房随时有钥匙,3室2厅,140.54,南,毛坯,有,450,32020,70
极力热推，公园天下，5楼，精装，看房有钥匙,3室2厅,125.98,南,精装,无,330,26195,70
：新上劳动路110号精装修，带车库楼层好采光无遮挡,3室2厅,133,南 北,精装,无,370,27820,70
国基城邦 满二唯一  中间楼层 南北通 视野宽阔,3室2厅,91.45,南,毛坯,有,162,17715,70
满五年  采光好  诚心出售  随时看房  南北通透格局,4室2厅,111.97,南 北,精装,有,293,26168,70
满两年+湖景房+定制装修+四开间朝南+高楼层,3室2厅,92.2,南,精装,有,294,31888,70
房东诚售，纯毛坯好楼层.房东换房诚心出售.,4室2厅,121.3,南,毛坯,有,250,20611,70
枫津新村 自住三房 装修保养好 可拎包入住,3室2厅,108.72,南 北,简装,无,310,28514,70
浙江枫华广场 全新装修 诚意出售 看房方便 提前联系,2室1厅,45.93,西,精装,民电,78,16983,2.48
南山精装修D户  楼层好 采光刺眼 布局合理 看房方便,3室1厅,89.24,南 北,精装,有,225,25213,70
云锦城婚装3居室出售，高层景观房，带中秧空调近地铁,3室2厅,89.69,南 北,精装,有,185,20627,70
新翠园 楼下124楼上68平 平直振华 降价30万  急卖,4室2厅,192,南,精装,无,440,22917,70
中海一区 东边户南北通透大三房  满两年 南北双阳台,3室2厅,132.2,南 北,精装,有,565,42739,70
新上88平大两房，婚房装修，拎包入住，不靠路，采光赞,2室2厅,88,南,精装,有,373,42387,70
带车库洋房  顶复南北双露台 处小区中间位置,4室2厅,129.31,南 北,精装,无,269,20803,70
相门新村，精装修，没住过，满五唯一。,2室1厅,51.02,南 北,精装,无,150.8,29558,70
舒馨花苑 精装三房  户型好 自带成熟商圈 交通便利,3室2厅,108.43,东,精装,无,140,12912,70
房东诚心出售 中间楼层 全明户型 采光全天照晒,2室1厅,100.45,南,精装,有,312,31061,70
南客厅三房两卫，首付50万，带个车库，拎包入,3室2厅,104,南,简装,无,155,14904,70
此房婚装，地铁口，满二年，看房随时，房东诚心出售,3室2厅,86,南,精装,有,209,24303,70
新上精装三房 总价低 户型正气 拎包可住,3室2厅,68,南,精装,无,142,20883,70
绿地21城A区  边套大花园 古典西班牙别墅  带地下室,5室2厅,198.47,南 北,毛坯,联排,508,25596,70
花桥裕花园南北通三房，满两年，房东另有发展，急售,3室2厅,87.77,南 北,毛坯,有,148,16863,70
纯毛坯，后期随意装修，不为装修风格不喜欢烦恼,3室2厅,94.98,南,毛坯,有,238,25058,70
中海御景湾 4室2厅 300万,4室2厅,129,南 北,简装,有,300,23256,70
火炬新村一楼带院子东边套满5年之内并且唯一一套,2室1厅,78.13,南,简装,无,115,14720,70
中间楼层，边套户型。宜家装修。诚意出售。,3室2厅,94.12,南 北,精装,有,162,17213,70
业主诚心置换卖房， 有钥匙，看房随时,2室2厅,87.82,南,精装,无,205,23344,70
满两年+全新精装修未住过人+家具家电全留+大自库,3室2厅,92,南 北,精装,无,260,28261,70
枫情水岸一期精装三房 全新未住人 业主诚意出售,3室2厅,139.31,南,精装,有,599,42998,70
护城河内 O几年 新房  楼层不高  采光无遮挡,3室2厅,99.9,南,简装,无,285,28529,70
世茂蝶湖湾  景观楼   本房源为蝶湖湾标注性建筑物。,3室2厅,141.13,南 北,毛坯,有,158,11196,70
装修保养较好可拎包入住，随时签约,3室1厅,89,南,精装,有,246,27641,70
上海城满五精装大面积自住房诚心出售,3室2厅,143.89,南,精装,有,236,16402,70
别墅区养生电梯洋房，总高6层带阁楼，4房2卫,4室2厅,86.99,南,精装,无,200,22992,70
【凯德都会新峰】【诚心出售六楼】【满五唯一税少】,3室2厅,119.49,南 北,精装,有,264,22094,70
诚心出售好房！三开间朝南，户型方正，南北阳台,3室2厅,97.26,南,精装,有,236,24265,70
尹山湖旁，东环边，小三房，诚心卖,3室2厅,89.68,南 北,精装,有,245,27320,70
新庄新村 小区环境好 复式 实用面积大 三开间朝南！,3室2厅,96.34,南,精装,无,195,20241,70
